Date,huc12,mean,25th,50th,75th
2008-08-01,170402080207,77.60146347469696,54.38572964726011,79.4885430241429,101.31512619001037
2008-08-01,170402080210,67.33201175611897,44.99999999999999,66.00000000000001,89.00000000000001
2008-08-01,170402080301,84.31338808378273,62.46128221414383,90.945057251813,106.00000000000001
2008-08-01,170402080303,63.40229467026884,30.000000000000004,56.85765651217809,96.4353040230106
2008-08-01,170402080302,41.13713410038918,22.0,30.41003587391202,50.233615657343414
2008-08-01,170402080304,61.35965229901161,33.970810284929215,57.50007177263882,88.00000000000003
2008-08-01,170402080307,50.87980426643406,23.40270687973961,36.99999999999999,74.99845311106662
2008-08-01,170402080308,41.408327552797246,19.01643211916194,27.000000000000007,57.99999999999999
2008-08-01,170402080401,44.52027969016792,23.000000000000004,32.0,57.0
2008-08-01,170402080403,55.182701799681254,29.0,45.000000000000014,79.99999999999997
2008-08-01,170402080205,54.811125133340624,29.999999999999993,41.00000000000001,76.0
2008-08-01,170402080402,68.37827050365466,39.0,67.0,98.0
2008-08-01,170402080404,56.49759558286164,30.0,46.4160137161308,82.0
2008-09-01,170402080608,61.27301141987263,29.479632005524397,50.486812668415446,86.0
2008-09-01,170402080102,49.5414052992024,37.0,47.000000000000014,61.20301676929085
2008-09-01,170402080104,60.17365777121603,45.0,62.00000000000001,76.03635854483186
2008-09-01,170402080106,53.12342623197008,41.0,52.000000000000014,65.48823351041534
2008-09-01,170402080107,45.956887953004816,32.0,41.00000000000001,60.0
2008-09-01,170402080105,49.43945289327164,35.475376660930046,44.42297499276634,59.0
2008-09-01,170402080108,46.43584225005104,30.00000000000002,38.37314770033379,62.0
2008-09-01,170402080211,47.2709705633706,29.000000000000007,42.0,64.0
2008-09-01,170402080506,46.49969942381261,30.427490547201106,42.245069851486406,61.27815667305465
2008-09-01,170402080602,37.087222028948545,23.443943842759726,32.0,46.65740941144493
2008-09-01,170402080603,54.865139259397566,34.000000000000014,56.0,73.99999999999999
2008-09-01,170402080605,32.412702008771625,22.075795957455927,28.0,37.209836212140594
2008-09-01,170402080607,51.29128441268358,26.049311654497536,37.00000000000001,82.00000000000001
2008-09-01,170402080606,52.366767011128985,32.0,43.474154412568,66.0
2008-09-01,170402080507,47.14439459755561,29.00000000000001,39.0,61.00000000000001
2008-09-01,170402080101,40.089959376708755,31.000000000000014,38.2110066065496,46.18449121450966
2008-09-01,170402080103,70.52624901976445,58.99999999999999,74.0,84.00000000000003
2008-09-01,170402080206,69.08124211042693,56.02066203908671,73.0,84.0
2008-09-01,170402080501,54.47625798558743,39.0,54.0,70.0
2008-09-01,170402080502,56.87889135971318,37.0,54.99999999999999,78.0
2008-09-01,170402080503,41.12160278861105,27.99999999999999,37.0,52.00000000000001
2008-09-01,170402080504,57.78717819225645,38.29277247281544,58.362621495798415,77.44130454360044
2008-09-01,170402080505,48.17026908310788,29.395454321497876,41.000000000000014,64.46453377841434
2008-09-01,170402080601,48.03993930624802,30.999999999999993,41.95198391697538,62.413379776955935
2008-09-01,170402080604,27.088478298447313,20.999999999999996,24.00000000000001,30.0
2008-09-01,170402080305,46.19229091308001,35.491323594025694,43.503791053681574,55.49847577793391
2008-09-01,170402080306,39.21662623140145,23.999999999999993,34.99999999999999,51.999999999999986
2008-09-01,170402080201,46.95514699213742,37.000000000000014,45.00000000000001,54.00000000000001
2008-09-01,170402080203,56.99388366089514,43.0,56.000000000000014,71.00000000000001
2008-09-01,170402080202,43.423186564554605,30.518078662023125,38.46945998242493,54.00000000000001
2008-09-01,170402080204,44.70893017686527,28.000000000000007,36.00000000000001,59.99999999999999
2008-09-01,170402080208,62.479324495016925,49.00000000000003,63.00000000000001,76.99999999999997
2008-09-01,170402080209,69.04406962249884,54.0,73.99999999999999,85.0130127661894
2008-09-01,170402080207,55.90997464102355,38.04149144030909,56.459122567455196,72.26040664731838
2008-09-01,170402080210,50.41163248754581,34.387416000392406,47.43294711358134,66.0
2008-09-01,170402080301,64.30138933043163,47.47552816253796,68.0,82.0
2008-09-01,170402080303,49.42462243485796,27.98348416022653,42.798940948861606,71.00000000000001
2008-09-01,170402080302,36.903007584485536,24.384185813697552,30.32746578380309,43.0
2008-09-01,170402080304,49.91279356200285,30.0,46.0,67.99999999999999
2008-09-01,170402080307,42.036039109390856,22.000000000000004,30.58324509665774,60.596312912568855
2008-09-01,170402080308,37.74735066211862,20.50278675912825,28.000000000000007,50.99999999999999
2008-09-01,170402080401,35.82041969816457,21.51220205301278,27.471068740581735,43.999999999999986
2008-09-01,170402080403,41.052641055862715,23.999999999999996,32.0,55.999999999999986
2008-09-01,170402080205,42.705084356546976,28.00000000000001,34.0,54.0
2008-09-01,170402080402,49.6205073477688,29.000000000000014,46.0,70.0
2008-09-01,170402080404,43.63843598382146,26.562526829731674,35.29253713177168,59.0
2008-10-01,170402080608,34.67596524716956,24.0,31.0,42.999999999999986
2008-10-01,170402080102,29.222878125407487,24.642152781212726,28.45615043448986,32.19929657735306
2008-10-01,170402080104,34.00826257056232,26.999999999999996,34.00000000000001,41.09168463571329
2008-10-01,170402080106,29.760226226391183,25.498965258053264,29.469663315308505,34.46819312543645
2008-10-01,170402080107,28.188390931308422,22.000000000000004,25.999999999999993,32.99999999999999
2008-10-01,170402080105,28.68256710765661,23.000000000000004,26.746748583279125,32.0
2008-10-01,170402080108,28.271777334144375,22.000000000000014,24.420773403032086,33.0
2008-10-01,170402080211,29.02529780840134,21.331848319459297,26.280775397768423,35.37190282545671
2008-10-01,170402080506,31.324905926232155,26.0,30.6747183505553,36.33185559572542
2008-10-01,170402080602,25.293507233355193,21.0,23.215854483598477,29.0
2008-10-01,170402080603,31.964257189271148,24.934116727532437,30.976664312804726,38.46491206229144
2008-10-01,170402080605,26.77932684954998,22.493399650203713,25.15717890874685,29.0
2008-10-01,170402080607,31.22818400129202,25.119945738647782,29.01935629721899,37.000000000000014
2008-10-01,170402080606,29.27273190251731,21.29511587511999,27.299584997180713,36.0
2008-10-01,170402080507,29.473237836592876,23.0,27.00000000000002,34.99999999999999
2008-10-01,170402080101,27.10678930482136,23.314996884140132,25.999999999999996,30.162162533496037
2008-10-01,170402080103,38.331013806975335,31.000000000000007,39.000000000000014,45.999999999999986
2008-10-01,170402080206,37.94402916945719,30.00205070178022,39.0,45.999999999999986
2008-10-01,170402080501,31.44846224598478,24.999999999999996,29.999999999999993,37.0
2008-10-01,170402080502,31.911114284063817,22.999999999999986,30.000000000000018,42.0
2008-10-01,170402080503,26.58474668656396,20.000000000000018,24.999999999999993,31.0
2008-10-01,170402080504,35.45188466447477,27.581113589687135,34.30983403489053,44.222345586455454
2008-10-01,170402080505,31.347501653899837,24.21507339052398,29.000000000000014,37.00000000000002
2008-10-01,170402080601,29.98216935243753,23.0,28.000000000000004,35.0
2008-10-01,170402080604,25.516303072550574,23.000000000000018,23.999999999999986,26.00000000000002
2008-10-01,170402080305,28.795462734602463,22.99919637259214,27.000000000000014,33.97033268360368
2008-10-01,170402080306,27.675809751157246,20.999999999999993,26.00000000000001,33.0
2008-10-01,170402080201,28.67304783593135,23.99999999999999,27.00000000000001,31.000000000000007
2008-10-01,170402080203,34.51935048640817,27.00000000000001,33.00000000000001,42.0
2008-10-01,170402080202,28.61475809399274,23.0,25.433075994437317,33.0
2008-10-01,170402080204,28.944160688248324,22.448892287197744,25.17599372347934,33.00000000000001
2008-10-01,170402080208,37.42974700541737,30.0,37.00000000000001,45.0
2008-10-01,170402080209,40.254864848585136,31.000000000000014,43.01391923257673,49.000000000000014
2008-10-01,170402080207,32.286087881975995,24.323863768038436,31.000000000000004,40.08559191673685
2008-10-01,170402080210,30.3212176748547,23.40589925881107,28.0,37.41304429958214
2008-10-01,170402080301,37.050869679290614,28.46915823789625,36.0,46.48772426055817
2008-10-01,170402080303,33.019669072279214,25.445015806793275,29.428049086607235,38.43456080140988
2008-10-01,170402080302,27.363005255654294,21.400145861883136,24.522236737236994,30.000000000000004
2008-10-01,170402080304,33.441531395843434,24.999999999999996,30.99999999999999,41.0
2008-10-01,170402080307,29.664122803575122,21.35646465581725,24.378676065887515,38.0
2008-10-01,170402080308,27.596959151586862,19.99065274200143,23.000000000000004,34.0
2008-10-01,170402080401,25.75693792978814,18.500820106354663,22.00000000000001,29.465228317757287
2008-10-01,170402080403,27.14458414124348,19.999999999999986,23.999999999999982,32.0
2008-10-01,170402080205,28.460471594835678,21.557686858083304,24.000000000000018,32.0
2008-10-01,170402080402,30.332080650527615,22.0,27.999999999999982,37.0
2008-10-01,170402080404,28.056992799941014,19.5316444011602,24.0,34.65151655506445
2008-11-01,170402080608,21.69036422421976,18.025580282470113,21.000000000000007,24.999999999999982
2008-11-01,170402080102,14.727557102186287,13.300396547141295,15.00000000000001,16.251697255558984
2008-11-01,170402080104,14.279107500810547,12.1053242796654,13.999999999999998,16.999999999999996
2008-11-01,170402080106,14.214819183515775,12.047807431489344,14.05817695366916,16.0
2008-11-01,170402080107,13.85690148055693,12.000000000000009,13.999999999999998,14.999999999999995
2008-11-01,170402080105,14.093336073762773,12.552455602373843,14.38281610731345,16.0
2008-11-01,170402080108,14.115160487972135,11.536084505153678,13.840778483836978,16.0
2008-11-01,170402080211,14.585314892445462,12.35641139712648,15.000000000000012,17.0
2008-11-01,170402080506,16.974225165925166,14.859429769138007,17.302232918616234,19.000000000000007
2008-11-01,170402080602,13.971688861372783,12.000000000000002,14.000000000000004,14.999999999999998
2008-11-01,170402080603,14.743082997036185,12.582830274170288,15.000000000000002,17.000000000000004
2008-11-01,170402080605,16.766995771313283,15.000000000000002,16.10064939394476,18.25165268054524
2008-11-01,170402080607,17.337166185570673,16.051462649766364,16.99999999999999,19.000000000000007
2008-11-01,170402080606,18.509342239680137,16.294795117026524,18.33492823100999,21.321140991699693
2008-11-01,170402080507,19.29837248333662,17.000000000000004,19.000000000000025,21.000000000000007
2008-11-01,170402080101,16.096483528823757,15.000000000000004,16.0,17.15510034320772
2008-11-01,170402080103,15.772339486824409,13.000000000000007,16.0,18.00000000000001
2008-11-01,170402080206,15.819942583889858,13.000801771603342,16.0,19.000000000000007
2008-11-01,170402080501,14.80354480324178,12.999999999999995,15.00000000000001,17.0
2008-11-01,170402080502,14.638116368916299,12.000000000000002,14.99999999999999,17.999999999999996
2008-11-01,170402080503,14.863388490707537,11.999999999999988,15.000000000000002,17.0
2008-11-01,170402080504,16.40493350157419,13.209861226945975,17.32252206695061,19.165366619285212
2008-11-01,170402080505,17.45790299177246,14.999999999999993,17.0,20.07553045426553
2008-11-01,170402080601,15.45640586367511,13.999999999999993,15.0,17.000000000000004
2008-11-01,170402080604,15.86255604253757,14.0,16.0,17.0
2008-11-01,170402080305,15.023274816579194,12.598377297709915,15.000000000000002,17.000000000000007
2008-11-01,170402080306,16.520898493007845,14.000000000000002,17.000000000000018,18.999999999999993
2008-11-01,170402080201,14.242479077186086,13.000000000000007,14.000000000000002,16.0
2008-11-01,170402080203,17.987758233770997,14.999999999999998,17.999999999999996,20.99999999999999
2008-11-01,170402080202,15.399549534143357,12.596798192854829,14.998962161102837,16.414405012543575
2008-11-01,170402080204,16.335126121999284,14.000000000000002,16.0,18.999999999999996
2008-11-01,170402080208,18.61716316438059,16.0,19.000000000000004,21.99999999999999
2008-11-01,170402080209,19.00628877442448,16.008318181317577,18.999999999999996,22.0
2008-11-01,170402080207,16.023216081084637,13.000000000000004,16.326390865643916,19.26393993125751
2008-11-01,170402080210,15.91969643131557,13.44495032165429,16.0,18.37727698066988
2008-11-01,170402080301,18.030361484462073,14.999999999999998,18.095233948153677,21.000000000000004
2008-11-01,170402080303,18.713072230689,16.059597141526332,18.00000000000001,21.0
2008-11-01,170402080302,17.49514394378571,15.000000000000005,17.513670530178373,19.275519979727015
2008-11-01,170402080304,17.76270318303271,16.04531382708426,17.0,20.057471005952802
2008-11-01,170402080307,17.278874227380154,15.0,17.06084355940454,19.229630702324712
2008-11-01,170402080308,17.252938973458722,16.0,17.44370244405933,19.89562286561673
2008-11-01,170402080401,15.10187622706852,13.000000000000018,15.00000000000001,17.999999999999996
2008-11-01,170402080403,14.765874205618779,11.999999999999998,14.999999999999984,16.999999999999993
2008-11-01,170402080205,15.428746178857311,13.665868276117433,15.000000000000002,16.3605269785305
2008-11-01,170402080402,15.279800960837894,13.000000000000005,15.000000000000004,17.999999999999993
2008-11-01,170402080404,14.647471021608764,12.000000000000009,14.531854563281302,17.33360180119332
2008-12-01,170402080608,14.162782718185715,11.0,14.551657970808154,18.000000000000004
2008-12-01,170402080102,6.174785125179437,4.999999999999999,7.000000000000001,7.000000000000001
2008-12-01,170402080104,5.841746541342561,4.0,6.1662128443292055,8.128897392996807
2008-12-01,170402080106,7.152997994559378,7.000000000000007,7.000000000000007,8.227984894537322
2008-12-01,170402080107,7.667705148892147,7.000000000000001,8.0,8.0
2008-12-01,170402080105,7.085397256212193,5.840935894652682,7.000000000000011,8.18104872554722
2008-12-01,170402080108,7.540969504675041,6.834643803505547,8.0,8.0
2008-12-01,170402080211,8.012434681480118,6.36628997474254,8.281812344991742,8.999999999999998
2008-12-01,170402080506,9.616393409623,7.000000000000006,9.000000000000007,12.000000000000012
2008-12-01,170402080602,7.122933187409749,5.999999999999999,7.000000000000001,8.0
2008-12-01,170402080603,6.970319255962246,6.000000000000002,7.000000000000008,8.999999999999998
2008-12-01,170402080605,9.765351147179114,8.246037788879688,9.2007991909485,11.211771157190048
2008-12-01,170402080607,11.132902886052673,8.069596062238894,11.051679256750626,14.000000000000004
2008-12-01,170402080606,13.7186979374762,11.26534501385692,13.248673530526576,16.353643528385724
2008-12-01,170402080507,13.532626793472312,10.000000000000007,13.0,16.999999999999993
2008-12-01,170402080101,6.522754702923339,5.855943951697696,6.816311572818746,8.289538745634813
2008-12-01,170402080103,7.387794228608917,5.999999999999995,6.999999999999998,8.999999999999995
2008-12-01,170402080206,7.549632065622132,6.050909594027761,6.999999999999997,9.000000000000002
2008-12-01,170402080501,6.698856960641224,4.999999999999998,6.999999999999991,8.0
2008-12-01,170402080502,7.390445990056994,5.999999999999998,7.000000000000005,9.000000000000002
2008-12-01,170402080503,8.002599257225533,5.999999999999992,8.0,8.999999999999996
2008-12-01,170402080504,7.980641093155686,5.775697614846427,8.190812204011099,9.000000000000002
2008-12-01,170402080505,10.471716638548235,8.475577584484297,10.353084254355045,13.000000000000004
2008-12-01,170402080601,6.48775582002289,5.746559390007922,7.0000000000000036,8.302990453600708
2008-12-01,170402080604,8.356934018330197,7.0,8.0,10.000000000000002
2008-12-01,170402080305,7.683956439550199,6.686929226407668,8.0,9.293497992499734
2008-12-01,170402080306,7.627836410545954,7.000000000000011,8.0,9.000000000000005
2008-12-01,170402080201,8.05001015117085,6.999999999999996,8.0,8.0
2008-12-01,170402080203,8.651491616177235,7.000000000000002,8.0,8.999999999999995
2008-12-01,170402080202,8.879131595419516,8.482334631267118,8.482334631267118,10.297592814885249
2008-12-01,170402080204,8.835420973150761,8.0,9.000000000000007,10.069745622617878
2008-12-01,170402080208,7.828201264315174,6.000000000000004,8.0,9.000000000000005
2008-12-01,170402080209,8.036504943588566,6.9999999999999964,8.0,9.01462582282426
2008-12-01,170402080207,8.16473578027147,7.0,8.050376335955777,9.101238350860653
2008-12-01,170402080210,8.559411643721383,6.787853839214194,8.0,9.350128004892364
2008-12-01,170402080301,8.021612892033978,5.680055748348986,8.457149062577605,8.457149062577605
2008-12-01,170402080303,8.535237607841395,8.0,9.000000000000002,9.999999999999998
2008-12-01,170402080302,8.746005517470225,8.0,9.000000000000002,10.182336599275013
2008-12-01,170402080304,7.241319408867213,5.0,8.0,9.045602325109158
2008-12-01,170402080307,8.719260832689779,8.269915250312879,8.269915250312879,9.23943540053135
2008-12-01,170402080308,8.060354759193322,7.000000000000002,8.0,9.0
2008-12-01,170402080401,9.377910674300582,8.0,9.00000000000001,10.0
2008-12-01,170402080403,8.017551842355264,6.999999999999994,8.0,10.000000000000009
2008-12-01,170402080205,8.39960175831953,6.999999730747786,8.0,9.255402830737868
2008-12-01,170402080402,7.934112451946082,7.0,8.0,8.99999999999999
2008-12-01,170402080404,7.6805663536219875,5.999999999999999,7.000000000000005,9.254783780298691
